name,category,unit_of_measure,unit_cost,item_type,product_url,last_verified_at,notes,cost_code,is_favorite
"Framing nails 3-1/4 in. x .131 21-deg plastic collated, bright",fasteners,box,43.98,material,https://www.homedepot.com/p/Grip-Rite-3-1-4-in-x-0-131-in-21-Plastic-Collated-Bright-Coated-Smooth-Shank-Round-Head-Framing-Nails-1000-per-Box-GR0241M/202275379,2026-09-23,"1,000 per box. Grip-Rite.",,false
"Framing nails 3-1/4 in. x .131 21-deg, hot-dip galvanized",fasteners,box,54.98,material,https://www.homedepot.com/p/Grip-Rite-3-1-4-in-x-0-131-in-21-Plastic-Collated-Exterior-Galvanized-Smooth-Shank-Framing-Nails-1000-per-Box-GR034HG1M/202275380,2026-09-23,"1,000 per box. Exterior/HDG.",,false
Framing nails 3 in. x .120 21-deg HDG ring shank (HVHZ sheathing),fasteners,box,154.00,material,https://www.homedepot.com/p/Grip-Rite-3-in-x-0-120-in-21-Plastic-Collated-Exterior-Galvanized-Ring-Shank-Framing-Nails-4000-per-Box-GR408HG/100158144,2026-09-23,"4,000 per box, approx 3.9 cents/nail. HVHZ sheathing schedules call for ring shank.",,false
"16d common nails 3-1/2 in. bright, hand drive",fasteners,box,31.73,material,https://www.homedepot.com/p/Grip-Rite-3-1-2-in-x-8-Gauge-16-penny-Bright-Steel-Smooth-Shank-Common-Nails-5-lb-Box-16C5/202308546,2026-09-23,"5 lb box, approx 235 count.",,false
8d common nails 2-1/2 in. bright,fasteners,box,31.73,material,https://www.homedepot.com/p/Grip-Rite-2-1-2-in-x-10-1-4-Gauge-8-penny-Bright-Steel-Smooth-Shank-Common-Nails-5-lb-Box-8C5/202308647,2026-09-23,5 lb box. Same shelf price as 16d at time of check.,,false
Coil roofing nails 1-1/4 in. 15-deg electro-galv smooth shank,roofing,box,49.98,material,https://www.homedepot.com/p/Grip-Rite-1-1-4-in-x-0-120-Gauge-15-Smooth-Shank-Electrogalvanized-Wire-Collated-Coil-Roofing-Nails-7-200-per-Box-GRCR3DGAL/100394342,2026-09-23,"7,200 per box. $34.99 at 3+ boxes.",,false
Cap nails 1 in. collated plastic round cap (underlayment),roofing,box,39.00,material,https://www.homedepot.com/p/Grip-Rite-1-in-x-12-Gauge-Plastic-Round-Cap-Roofing-Nail-3-000-Pack-GCB1/100111688,2026-09-23,"3,000 per pack, approx 1.3 cents each. HVHZ underlayment requires cap fasteners.",,false
"Cap nails 1 in. EG ring shank w/ plastic cap, hand drive",roofing,box,12.91,material,https://www.homedepot.com/p/Grip-Rite-1-in-x-12-Gauge-2-penny-Electrogalvanized-Ring-Shank-Roofing-Nails-with-Plastic-Cap-1-lb-Box-1PRCAP1/100198483,2026-09-23,"1 lb box, approx 280 count.",,false
"Finish nails 16ga x 2-1/2 in. straight, electro-galv",fasteners,box,35.98,material,https://www.homedepot.com/p/2-1-2-in-x-16-Gauge-Electrogalvanized-Steel-Finish-Nails-4000-per-Box-GRF162124M/202994129,2026-09-23,"4,000 per box.",,false
"Brad nails 18ga x 2 in., electro-galv",fasteners,box,32.68,material,https://www.homedepot.com/p/Grip-Rite-2-in-18-Gauge-Brad-Nail-5-000-Pack-GRF182/204718211,2026-09-23,"5,000 per box.",,false
Deck screws #9 x 2-1/2 in. tan star flat head,fasteners,box,29.97,material,https://www.homedepot.com/p/DECKMATE-9-x-2-1-2-in-Tan-Torx-Flat-Head-Wood-Deck-Screw-5-lbs-435-Piece-115981/306587128,2026-09-23,5 lb / 435 pc box. Deckmate.,,false
Deck screws #9 x 2-1/2 in. tan (1 lb),fasteners,box,10.97,material,https://www.homedepot.com/p/Deckmate-2-1-2-in-Tan-Exterior-Self-Starting-Star-Flat-Head-Wood-Deck-Screws-9-1-lb-87-pcs-212DMT1/305418732,2026-09-23,1 lb / 87 pc box.,,false
Deck screws #9 x 3 in. tan,fasteners,box,29.97,material,https://www.homedepot.com/p/Deckmate-9-3-in-Tan-Exterior-Self-Starting-Star-Flat-Head-Wood-Deck-Screws-5-lbs-309-Pieces-3DMT5/305418479,2026-09-23,5 lb / 309 pc box.,,false
